名	语种	原名	作者页	作品	页数	字数	状态
埃斯库罗斯	el	Aeschylus（Αἰσχύλος）	Μεταγραφή:Aeschylus (Smyth 1926) v2.djvu	works4	3	209267	ok
索福克勒斯	el	Sophocles（Σοφοκλῆς）		无作者页	0	0	未找到
欧里庇得斯	el	Euripides（Εὐριπίδης）		无作者页	0	0	未找到
阿里斯托芬	el	Aristophanes（Ἀριστοφάνης）		无作者页	0	0	未找到
柏拉图	el	Plato（Πλάτων）		无作者页	0	0	未找到
希罗多德	el	Herodotus（Ἡρόδοτος）		无作者页	0	0	未找到
维吉尔	ja	Virgil（Publius Vergilius Maro）		无作者页	0	0	未找到
奥维德	ja	Ovid（Publius Ovidius Naso）		无作者页	0	0	未找到
马可·奥勒留	ja	Marcus Aurelius		无作者页	0	0	未找到
伊索寓言》（无名氏）	el	Aesop（Αἴσωπος）		无作者页	0	0	未找到
吉尔伽美什史诗》（无名氏）	ja	Epic of Gilgamesh		无作者页	0	0	未找到
钦努阿·阿契贝	ja	Chinua Achebe		无作者页	0	0	未找到
沃莱·索因卡	ja	Wole Soyinka		无作者页	0	0	未找到
J.M.库切	ja	J. M. Coetzee		无作者页	0	0	未找到
